,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,13,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,137982.3,0.0,0.0,2155.97,0.0,30.0014,4139886.0,0.0,0.08,189.62,0.65,343235.46,318452.7692,26.4027
1,9,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Write,0.0,109.19,27.79,0.0,1.71,30.2196,3960.0,0.01,68.5,907.03,344.08,271243.1,440.0,30.1381
2,21,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Read,1269.2,0.0,0.0,19.83,0.0,30.1487,38269.0,0.0,16.5,1829.81,77.19,631335.62,1822.3333,30.0636
3,21,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Write,0.0,3475.92,708.85,0.0,54.31,30.061,125391.0,0.01,5.03,417.53,28.67,630448.97,5971.0,30.0214
4,4,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Read,842.71,0.0,0.0,13.17,0.0,30.0345,25313.0,0.0,4.74,1273.15,23.1,120043.99,6328.25,30.011
5,4,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Write,0.0,108.8,24.2,0.0,1.7,30.3269,3954.0,0.01,30.49,419.4,153.02,120557.49,988.5,30.1394
6,10,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Read,1095.94,0.0,0.0,17.12,0.0,30.0695,32958.0,0.0,9.11,1558.16,43.39,300256.07,3295.8,30.0256
7,32,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,217965.53,0.0,0.0,3405.71,0.0,30.0023,6540170.0,0.0,0.11,1810.73,0.03,687913.75,204380.3125,21.4973
8,4,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,40685.13,0.0,0.0,635.7,0.0,30.0008,1220728.0,0.0,0.1,173.51,0.67,118455.1,305182.0,29.6138
9,16,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Read,1199.04,0.0,0.0,18.74,0.0,30.0999,36095.0,0.0,13.32,1853.26,66.84,480607.86,2255.9375,30.038
10,11,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Read,1147.41,0.0,0.0,17.93,0.0,30.088,34527.0,0.0,9.57,1828.93,41.85,330496.79,3138.8182,30.0452
11,19,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Write,0.0,109.17,33.88,0.0,1.71,30.6935,4011.0,0.01,142.94,3060.29,694.45,573352.09,211.1053,30.1764
12,1,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Read,661.28,0.0,0.0,10.33,0.0,30.0089,19846.0,0.01,1.51,129.79,10.09,29990.17,19846.0,29.9902
13,11,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,112269.17,0.0,0.0,1754.2,0.0,30.001,3368505.0,0.0,0.09,262.38,0.65,305059.9,306227.7273,27.7327
14,7,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,67924.86,0.0,0.0,1061.32,0.0,30.0007,2038032.0,0.0,0.1,293.49,0.69,204120.96,291147.4286,29.1601
15,27,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Write,0.0,111.99,39.1,0.0,1.75,31.1962,4174.0,0.01,195.88,2780.29,960.3,817592.04,154.5926,30.2812
16,30,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Write,0.0,2682.1,556.2,0.0,41.91,30.2715,97439.0,0.01,9.26,1666.97,43.39,902625.96,3247.9667,30.0875
17,20,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,183424.4,0.0,0.0,2866.0,0.0,30.0022,5503747.0,0.0,0.09,760.44,0.14,494362.63,275187.35,24.7181
18,24,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,197725.21,0.0,0.0,3089.45,0.0,30.0019,5932777.0,0.0,0.1,1657.42,0.05,587631.37,247199.0417,24.4846
19,5,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Write,0.0,110.14,24.8,0.0,1.72,30.6388,4035.0,0.01,37.23,521.97,176.73,150221.75,807.0,30.0444
20,8,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,76945.43,0.0,0.0,1202.27,0.0,30.0008,2308684.0,0.0,0.1,247.44,0.68,232119.95,288585.5,29.015
21,29,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Write,0.0,109.25,40.16,0.0,1.71,31.1186,4070.0,0.01,216.38,4095.68,977.74,880668.68,140.3448,30.3679
22,14,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,143997.32,0.0,0.0,2249.95,0.0,30.0014,4320606.0,0.0,0.09,529.03,0.65,371899.41,308614.7143,26.5642
23,3,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Write,0.0,111.41,23.69,0.0,1.74,30.5144,4063.0,0.01,22.16,508.29,116.8,90026.26,1354.3333,30.0088
24,3,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,31029.97,0.0,0.0,484.84,0.0,30.0003,931023.0,0.0,0.1,1604.83,0.67,89027.03,310341.0,29.6757
25,16,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Sequential,Read,158183.18,0.0,0.0,2471.61,0.0,30.0013,4746253.0,0.0,0.08,185.39,0.39,393767.19,296640.8125,24.6104
26,24,6.4GiB,6.4GiB,128GiB,16KiB,100,asynchronous,Random,Read,1283.72,0.0,0.0,20.06,0.0,30.1099,38657.0,0.01,18.65,1946.25,92.42,720974.13,1610.7083,30.0406
