,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,13,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,185504.65,0.0,0.0,2898.51,0.0,30.0012,5565993.0,0.0,0.06,1036.85,0.06,352782.23,428153.3077,27.1371
1,9,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,121.72,30.07,0.0,1.9,30.3956,4434.0,0.01,61.26,944.73,331.91,271646.15,492.6667,30.1829
2,21,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2551.99,0.0,0.0,39.87,0.0,30.107,76841.0,0.0,8.21,1493.45,48.34,630839.49,3659.0952,30.04
3,21,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,3617.61,737.27,0.0,56.53,30.0442,130433.0,0.01,4.83,654.03,27.17,630186.96,6211.0952,30.0089
4,4,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,1787.93,0.0,0.0,27.94,0.0,30.0129,53667.0,0.0,2.24,281.89,15.0,119987.87,13416.75,29.997
5,4,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,123.71,26.73,0.0,1.93,30.7135,4541.0,0.01,26.47,365.77,144.97,120194.52,1135.25,30.0486
6,10,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2182.38,0.0,0.0,34.1,0.0,30.134,65771.0,0.0,4.57,1115.93,27.66,300859.33,6577.1,30.0859
7,32,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,215028.12,0.0,0.0,3359.81,0.0,30.0025,6451887.0,0.0,0.13,709.2,0.12,834031.27,201621.4688,26.0635
8,4,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,148528.25,0.0,0.0,2320.75,0.0,30.0011,4456527.0,0.0,0.03,211.1,0.02,116957.17,1114131.75,29.2393
9,16,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2321.67,0.0,0.0,36.28,0.0,30.0892,69865.0,0.0,6.88,1257.09,41.85,480545.65,4366.5625,30.0341
10,11,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2285.49,0.0,0.0,35.71,0.0,30.0586,68706.0,0.0,4.81,1404.32,28.16,330229.04,6246.0,30.0208
11,19,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,121.91,36.06,0.0,1.9,31.1687,4544.0,0.01,126.9,2719.37,590.56,576611.45,239.1579,30.348
12,1,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,1182.7,0.0,0.0,18.48,0.0,30.0205,35509.0,0.0,0.84,115.28,7.98,29996.18,35509.0,29.9962
13,11,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,175537.39,0.0,0.0,2742.77,0.0,30.1113,5286257.0,0.0,0.06,543.05,0.05,313450.24,480568.8182,28.4955
14,7,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,163623.25,0.0,0.0,2556.61,0.0,30.0007,4909354.0,0.0,0.04,647.42,0.04,203587.55,701336.2857,29.0839
15,27,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,118.39,40.54,0.0,1.85,31.2483,4427.0,0.01,185.49,3872.22,802.05,821185.24,163.963,30.4143
16,30,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,4040.47,828.0,0.0,63.13,30.0427,145678.0,0.01,6.18,633.44,29.72,900508.28,4855.9333,30.0169
17,20,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,200953.57,0.0,0.0,3139.9,0.0,30.0505,6039412.0,0.0,0.09,1269.19,0.09,533339.51,301970.6,26.667
18,24,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,206078.37,0.0,0.0,3219.97,0.0,30.0219,6187555.0,0.0,0.1,386.75,0.11,627440.87,257814.7917,26.1434
19,5,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,119.85,27.01,0.0,1.87,30.3589,4359.0,0.01,34.47,508.09,183.21,150256.33,871.8,30.0513
20,8,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,174723.49,0.0,0.0,2730.05,0.0,30.0126,5244493.0,0.0,0.04,815.45,0.05,229472.01,655561.625,28.684
21,29,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,121.95,42.62,0.0,1.91,31.157,4548.0,0.01,194.78,4231.1,816.63,885866.84,156.8276,30.5471
22,14,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,189906.86,0.0,0.0,2967.29,0.0,30.0009,5697994.0,0.0,0.07,877.48,0.1,380410.64,406999.5714,27.1722
23,3,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,123.4,26.19,0.0,1.93,30.5475,4510.0,0.01,19.97,751.92,108.68,90067.89,1503.3333,30.0226
24,3,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,137481.05,0.0,0.0,2148.14,0.0,30.0006,4124981.0,0.0,0.02,447.76,0.02,87575.22,1374993.6667,29.1917
