,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,1,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,236946.9,0.0,0.0,3702.3,0.0,30.0002,7109319.0,0.0,0.0,0.17,0.01,28877.37,7109319.0,28.8774
1,11,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Write,0.0,3174.55,642.23,0.0,49.6,30.0482,114480.0,0.01,2.88,326.83,23.52,329968.8,10407.2727,29.9972
2,4,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Write,0.0,2698.63,541.82,0.0,42.17,30.0489,97303.0,0.01,1.23,258.52,0.51,119954.92,24325.75,29.9887
3,24,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,480446.52,0.0,0.0,7506.98,0.0,30.0007,14414596.0,0.0,0.02,4.87,0.01,250449.8,600608.1667,10.4354
4,4,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,506938.34,0.0,0.0,7920.91,0.0,30.0005,15210078.0,0.0,0.01,2.82,0.01,96994.78,3802519.5,24.2487
5,3,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,348028.67,0.0,0.0,5437.95,0.0,30.0004,10442284.0,0.0,0.01,2.98,0.01,77429.01,3480761.3333,25.8097
6,6,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,542124.4,0.0,0.0,8470.69,0.0,30.0005,16264899.0,0.0,0.01,2.98,0.01,120627.85,2710816.5,20.1046
7,21,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,502552.88,0.0,0.0,7852.39,0.0,30.0005,15077805.0,0.0,0.01,6.02,0.01,225486.55,717990.7143,10.7375
8,5,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Write,0.0,2719.24,546.64,0.0,42.49,30.0418,98024.0,0.01,1.53,151.2,0.95,149904.81,19604.8,29.981
9,22,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,465425.33,0.0,0.0,7272.27,0.0,30.0007,13963903.0,0.0,0.02,4.35,0.01,235389.63,634722.8636,10.6995
10,26,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Write,0.0,3687.03,754.1,0.0,57.61,30.1292,133303.0,0.01,5.85,1004.24,30.26,780281.2,5127.0385,30.0108
