,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,12,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,222.13,51.54,0.0,3.47,31.0592,8261.0,0.01,44.06,753.19,320.17,363979.52,688.4167,30.3316
1,15,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,211.3,52.1,0.0,3.3,30.2856,7678.0,0.01,58.91,882.49,419.45,452283.78,511.8667,30.1523
2,32,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,373727.15,0.0,0.0,5839.49,0.0,30.0009,11212799.0,0.0,0.05,3.92,0.12,551609.79,350399.9688,17.2378
3,24,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,217.86,58.82,0.0,3.4,30.7505,8029.0,0.01,90.5,1483.69,601.29,726604.73,334.5417,30.2752
4,27,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,440552.1,0.0,0.0,6883.63,0.0,30.0009,13217696.0,0.0,0.04,3.59,0.1,515405.54,489544.2963,19.0891
5,7,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3062.92,616.78,0.0,47.86,30.0334,110386.0,0.01,1.9,358.97,7.56,209979.11,15769.4286,29.997
6,18,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,364711.01,0.0,0.0,5698.61,0.0,30.0006,10942241.0,0.0,0.03,2.88,0.07,321542.4,607902.2778,17.8635
7,9,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3101.94,626.34,0.0,48.47,30.0745,111959.0,0.01,2.41,216.64,19.29,270087.76,12439.8889,30.0098
8,2,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,221.36,45.4,0.0,3.46,30.2637,8034.0,0.01,7.48,153.96,54.83,60117.9,4017.0,30.0589
9,31,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,454223.78,0.0,0.0,7097.25,0.0,30.0009,13627905.0,0.0,0.04,4.58,0.11,590984.26,439609.8387,19.064
10,15,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,474021.98,0.0,0.0,7406.59,0.0,30.0005,14221730.0,0.0,0.02,2.83,0.05,309051.2,948115.3333,20.6034
11,27,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3896.11,796.96,0.0,60.88,30.1036,140754.0,0.01,5.76,564.49,28.67,810489.99,5213.1111,30.0181
12,2,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,400057.17,0.0,0.0,6250.89,0.0,30.0004,12003324.0,0.0,0.0,0.36,0.01,56065.8,6001662.0,28.0329
13,22,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,395776.88,0.0,0.0,6184.01,0.0,30.0008,11874290.0,0.0,0.03,2.89,0.08,390758.03,539740.4545,17.7617
14,4,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,2840.01,570.3,0.0,44.38,30.0318,102349.0,0.01,1.17,120.84,0.46,120030.86,25587.25,30.0077
15,26,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,231.61,62.76,0.0,3.62,30.6521,8504.0,0.01,92.46,1763.71,612.21,786295.67,327.0769,30.2421
16,23,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,219.28,58.75,0.0,3.43,30.5516,8035.0,0.01,86.85,1458.68,580.02,697865.92,349.3478,30.342
17,1,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,211.15,42.43,0.0,3.3,30.3075,7666.0,0.01,3.92,221.52,37.56,30014.25,7666.0,30.0143
18,32,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,4008.16,822.62,0.0,62.63,30.1102,144832.0,0.01,6.63,726.08,30.81,960745.95,4526.0,30.0233
19,12,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,502041.56,0.0,0.0,7844.4,0.0,30.0006,15062345.0,0.0,0.02,2.96,0.04,261913.53,1255195.4167,21.8261
20,20,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,376976.4,0.0,0.0,5890.26,0.0,30.0006,11310239.0,0.0,0.03,2.8,0.08,354795.87,565511.95,17.7398
21,28,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,443003.44,0.0,0.0,6921.93,0.0,30.0008,13291204.0,0.0,0.04,2.93,0.1,535019.54,474685.8571,19.1078
22,1,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,2540.51,508.27,0.0,39.7,30.0693,91665.0,0.02,0.33,157.76,0.07,30013.64,91665.0,30.0136
23,7,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,234.57,51.31,0.0,3.67,30.2644,8513.0,0.01,24.73,464.77,170.48,210540.19,1216.1429,30.0772
24,31,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3857.17,791.98,0.0,60.27,30.0706,139198.0,0.01,6.68,986.7,30.26,930313.92,4490.2581,30.0101
25,29,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,212.9,61.58,0.0,3.33,30.5284,7800.0,0.01,112.92,2007.07,733.0,880788.57,268.9655,30.372
26,7,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,502442.42,0.0,0.0,7850.66,0.0,30.0004,15074329.0,0.0,0.01,2.99,0.02,165844.87,2153475.5714,23.6921
27,27,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,220.87,61.91,0.0,3.45,30.332,8038.0,0.01,101.27,1625.39,682.06,814042.44,297.7037,30.1497
28,23,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3711.12,757.37,0.0,57.99,30.0955,134036.0,0.01,5.15,494.7,28.67,690430.0,5827.6522,30.0187
29,1,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,397363.56,0.0,0.0,6208.81,0.0,30.0002,11922296.0,0.0,0.0,0.24,0.0,28124.87,11922296.0,28.1249
30,25,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,221.37,60.53,0.0,3.46,30.2631,8032.0,0.01,93.44,1579.37,623.33,750521.98,321.28,30.0209
31,8,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,234.47,51.85,0.0,3.66,30.2783,8510.0,0.01,28.22,469.97,196.89,240163.98,1063.75,30.0205
32,14,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3365.43,682.17,0.0,52.58,30.0373,121313.0,0.01,3.46,281.3,25.28,419891.96,8665.2143,29.9923
33,15,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3289.73,667.69,0.0,51.4,30.0602,118673.0,0.01,3.79,333.57,25.74,450005.14,7911.5333,30.0003
34,3,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,2729.5,547.5,0.0,42.65,30.0388,98388.0,0.01,0.91,206.52,0.18,90001.04,32796.0,30.0003
