,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,13,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,47797.06,0.0,0.0,746.78,0.0,30.0034,1434177.0,0.0,0.27,20.24,0.62,385934.74,110321.3077,29.6873
1,9,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15451.77,3095.98,0.0,241.42,30.01,556496.0,0.0,0.48,108.24,2.07,269232.71,61832.8889,29.9147
2,21,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,43271.15,0.0,0.0,676.07,0.0,30.0123,1298750.0,0.0,0.48,23.58,1.3,628240.32,61845.2381,29.9162
3,21,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,12502.58,2514.43,0.0,195.34,30.0482,450838.0,0.0,1.4,456.76,0.23,630524.74,21468.4762,30.025
4,4,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,39865.64,0.0,0.0,622.87,0.0,30.0032,1196174.0,0.0,0.1,8.26,0.23,118784.62,299043.5,29.6962
5,4,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,14531.52,2908.57,0.0,227.04,30.006,523260.0,0.0,0.23,20.15,0.87,119487.86,130815.0,29.872
6,10,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,47757.82,0.0,0.0,746.17,0.0,30.0057,1433101.0,0.0,0.21,10.38,0.46,298326.6,143310.1,29.8327
7,32,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,41880.09,0.0,0.0,654.34,0.0,30.0115,1256981.0,0.0,0.76,27.07,1.47,955993.16,39280.6562,29.8748
8,4,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,78257.23,0.0,0.0,1222.69,0.0,30.0025,2348181.0,0.0,0.05,31.5,0.16,118085.79,587045.25,29.5214
9,16,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,41433.21,0.0,0.0,647.35,0.0,30.0135,1243715.0,0.0,0.38,26.17,1.01,478212.94,77732.1875,29.8883
10,11,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,44347.3,0.0,0.0,692.88,0.0,30.009,1330988.0,0.0,0.25,26.79,0.62,328287.26,120998.9091,29.8443
11,19,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,7464.63,1505.52,0.0,116.62,30.005,268798.0,0.0,2.12,42.58,12.3,569446.61,14147.2632,29.9709
12,1,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,14842.87,0.0,0.0,231.91,0.0,30.0049,445415.0,0.0,0.07,22.69,0.13,29820.63,445415.0,29.8206
13,11,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,50566.06,0.0,0.0,790.05,0.0,30.0047,1517319.0,0.0,0.22,8.4,0.58,327188.24,137938.0909,29.7444
14,7,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,64209.59,0.0,0.0,1003.21,0.0,30.004,1926758.0,0.0,0.11,18.29,0.27,207075.85,275251.1429,29.5823
15,27,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,4781.82,974.11,0.0,74.71,30.0286,172313.0,0.0,4.7,64.9,21.89,809715.01,6381.963,29.9894
16,30,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,9155.82,1850.54,0.0,143.05,30.034,329982.0,0.0,2.73,937.45,0.23,900609.83,10999.4,30.0203
17,20,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,42330.36,0.0,0.0,661.37,0.0,30.0015,1270054.0,0.0,0.47,8.16,1.06,595116.09,63502.7,29.7558
18,24,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,38888.01,0.0,0.0,607.59,0.0,30.0103,1167119.0,0.0,0.61,25.9,1.21,716109.22,48629.9583,29.8379
19,5,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15422.0,3087.23,0.0,240.96,30.0075,555345.0,0.0,0.27,15.6,1.04,149417.34,111069.0,29.8835
20,8,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,54357.8,0.0,0.0,849.29,0.0,30.0028,1630987.0,0.0,0.15,19.9,0.34,237275.52,203873.375,29.6594
21,29,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,4902.77,999.74,0.0,76.6,30.0264,176660.0,0.0,4.92,88.13,21.89,869711.28,6091.7241,29.99
22,14,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,47028.32,0.0,0.0,734.77,0.0,30.0009,1410989.0,0.0,0.29,6.15,0.67,416146.76,100784.9286,29.7248
23,3,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,13925.28,2786.58,0.0,217.57,30.0065,501432.0,0.0,0.18,29.95,0.63,89639.13,167144.0,29.8797
24,3,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,84759.91,0.0,0.0,1324.29,0.0,30.0009,2543189.0,0.0,0.03,16.08,0.14,88401.43,847729.6667,29.4671
25,16,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,43436.52,0.0,0.0,678.65,0.0,30.0053,1303461.0,0.0,0.37,5.64,0.81,476034.93,81466.3125,29.7522
26,24,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,41105.84,0.0,0.0,642.24,0.0,30.0148,1233864.0,0.0,0.58,31.2,1.58,718375.89,51411.0,29.9323
27,30,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,5050.09,1029.96,0.0,78.9,30.0376,182045.0,0.0,4.94,89.26,21.89,900116.14,6068.1667,30.0039
28,27,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,39456.51,0.0,0.0,616.47,0.0,30.0095,1184212.0,0.0,0.68,29.46,1.39,805734.08,43859.7037,29.842
29,28,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,4900.44,998.56,0.0,76.57,30.0408,176666.0,0.0,4.75,68.57,21.89,839996.69,6309.5,29.9999
30,14,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,16360.43,3281.25,0.0,255.62,30.0158,589315.0,0.0,0.71,687.94,0.26,419666.08,42093.9286,29.9761
31,6,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,24758.07,4955.28,0.0,386.82,30.0053,891530.0,0.0,0.2,212.74,0.17,179296.74,148588.3333,29.8828
32,29,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,42985.23,0.0,0.0,671.6,0.0,30.0096,1290108.0,0.0,0.67,25.96,1.34,865922.41,44486.4828,29.8594
33,7,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,23990.04,4802.05,0.0,374.82,30.0126,864093.0,0.0,0.24,892.97,0.18,209351.85,123441.8571,29.9074
34,15,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,17117.22,3433.4,0.0,267.44,30.0365,617039.0,0.0,0.73,364.7,0.23,450017.06,41135.9333,30.0011
35,31,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,38719.2,0.0,0.0,604.95,0.0,30.0101,1162094.0,0.0,0.8,28.17,1.58,925589.73,37486.9032,29.8577
36,25,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,5021.02,1020.25,0.0,78.45,30.0288,180930.0,0.0,4.14,55.2,20.37,749675.78,7237.2,29.987
37,18,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,15771.2,3165.99,0.0,246.41,30.0406,568553.0,0.0,0.95,604.46,0.25,540159.26,31586.2778,30.0088
38,23,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,40708.32,0.0,0.0,636.03,0.0,30.0139,1221905.0,0.0,0.56,31.98,1.52,688349.29,53126.3043,29.9282
39,11,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15596.21,3126.08,0.0,243.68,30.0165,561794.0,0.0,0.59,36.47,2.48,329082.82,51072.1818,29.9166
40,28,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,38264.62,0.0,0.0,597.85,0.0,30.0099,1148501.0,0.0,0.73,29.02,1.55,836490.81,41017.8929,29.8747
41,22,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,5866.79,1187.93,0.0,91.66,30.0168,211333.0,0.0,3.12,82.71,17.32,659522.81,9606.0455,29.9783
42,19,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,45053.93,0.0,0.0,703.92,0.0,30.0112,1352270.0,0.0,0.42,26.36,1.03,568279.92,71172.1053,29.9095
43,19,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,15347.65,3081.84,0.0,239.79,30.1393,555111.0,0.0,1.03,379.86,0.25,572080.42,29216.3684,30.1095
44,8,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15379.44,3081.05,0.0,240.29,30.0073,553825.0,0.0,0.43,69.32,1.79,239237.14,69228.125,29.9046
45,3,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,24729.47,4947.57,0.0,386.37,30.0032,890448.0,0.0,0.1,433.65,0.09,89388.33,296816.0,29.7961
46,4,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,25750.46,5152.69,0.0,402.33,30.008,927358.0,0.0,0.13,222.83,0.12,119370.46,231839.5,29.8426
47,22,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,42665.6,0.0,0.0,666.61,0.0,30.0138,1280685.0,0.0,0.51,27.2,1.39,658213.79,58212.9545,29.9188
48,23,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,5000.44,1015.2,0.0,78.13,30.0217,180151.0,0.0,3.83,47.52,20.37,689616.67,7832.6522,29.9833
49,17,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,44084.81,0.0,0.0,688.78,0.0,30.0129,1323215.0,0.0,0.38,21.7,1.01,508213.62,77836.1765,29.8949
50,9,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,22315.97,4468.68,0.0,348.67,30.0295,804197.0,0.0,0.34,150.48,0.2,269502.28,89355.2222,29.9447
51,32,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,4887.62,998.7,0.0,76.36,30.0364,176179.0,0.0,5.45,98.89,22.69,959772.24,5505.5938,29.9929
52,2,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,20966.4,0.0,0.0,327.58,0.0,30.0042,629166.0,0.0,0.09,21.79,0.2,59427.05,314583.0,29.7135
53,1,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,21849.1,4369.85,0.0,341.37,30.0042,786701.0,0.0,0.04,150.47,0.03,29617.14,786701.0,29.6171
54,31,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,37802.45,0.0,0.0,590.63,0.0,30.0152,1134757.0,0.0,0.82,52.2,2.39,928402.94,36605.0645,29.9485
55,2,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,90961.8,0.0,0.0,1421.19,0.0,30.002,2729344.0,0.0,0.02,16.9,0.11,58709.14,1364672.0,29.3546
56,5,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,41627.18,0.0,0.0,650.38,0.0,30.0051,1249118.0,0.0,0.12,27.24,0.29,148540.3,249823.6,29.7081
57,23,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,41546.58,0.0,0.0,649.13,0.0,30.0051,1246731.0,0.0,0.55,24.76,1.14,685417.48,54205.6957,29.8008
58,5,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,24740.47,4950.99,0.0,386.55,30.0044,890825.0,0.0,0.17,645.45,0.15,149281.33,178165.0,29.8563
59,20,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,45045.32,0.0,0.0,703.8,0.0,30.0135,1352158.0,0.0,0.44,29.75,1.06,598241.68,67607.9,29.9121
60,7,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,48630.88,0.0,0.0,759.82,0.0,30.0055,1459358.0,0.0,0.14,18.05,0.31,208238.53,208479.7143,29.7484
61,6,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,66789.86,0.0,0.0,1043.53,0.0,30.0008,2004012.0,0.0,0.09,11.91,0.24,177279.21,334002.0,29.5465
62,7,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15851.2,3174.47,0.0,247.66,30.0087,570827.0,0.0,0.37,21.05,1.47,209334.61,81546.7143,29.9049
63,15,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,44081.73,0.0,0.0,688.74,0.0,30.0102,1322985.0,0.0,0.34,27.19,0.87,448218.16,88199.0,29.8812
64,20,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,14053.23,2823.46,0.0,219.57,30.0475,506745.0,0.0,1.18,431.79,0.26,600403.92,25337.25,30.0202
65,22,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,42341.05,0.0,0.0,661.54,0.0,30.0117,1270877.0,0.0,0.52,29.2,1.12,654986.12,57767.1364,29.7721
66,12,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,14786.31,2964.96,0.0,231.02,30.0121,532551.0,0.0,0.67,120.08,2.86,359044.42,44379.25,29.9204
67,1,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,70658.68,0.0,0.0,1103.97,0.0,30.0004,2120051.0,0.0,0.01,13.1,0.06,28937.23,2120051.0,28.9372
68,16,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,9250.31,1860.64,0.0,144.53,30.0096,333132.0,0.0,1.44,158.69,7.84,479318.43,20820.75,29.9574
69,17,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,16023.41,3215.74,0.0,250.35,30.1978,580674.0,0.0,0.88,301.87,0.25,512842.31,34157.2941,30.1672
70,10,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,53184.11,0.0,0.0,830.95,0.0,30.0028,1595872.0,0.0,0.19,7.76,0.54,297004.08,159587.2,29.7004
71,31,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,9055.24,1831.08,0.0,141.48,30.0473,326502.0,0.0,2.85,986.19,0.29,931022.55,10532.3226,30.033
72,16,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,16058.95,3222.25,0.0,250.91,30.0129,578394.0,0.0,0.83,242.76,0.26,479659.58,36149.625,29.9787
73,28,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,37730.21,0.0,0.0,589.5,0.0,30.0158,1132624.0,0.0,0.74,33.67,2.14,838319.51,40450.8571,29.94
74,6,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,15348.58,3073.18,0.0,239.81,30.0138,552824.0,0.0,0.32,189.59,1.25,179383.15,92137.3333,29.8972
75,15,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,44166.26,0.0,0.0,690.06,0.0,30.0006,1325105.0,0.0,0.34,8.4,0.74,445902.84,88340.3333,29.7269
76,21,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,6284.24,1270.83,0.0,98.18,30.0099,226321.0,0.0,2.78,60.11,15.83,629594.13,10777.1905,29.9807
77,27,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,10061.01,2029.63,0.0,157.19,30.2338,365027.0,0.0,2.23,909.87,0.23,815822.04,13519.5185,30.2156
78,26,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,40925.56,0.0,0.0,639.42,0.0,30.0162,1228519.0,0.0,0.63,31.68,1.73,778336.59,47250.7308,29.936
79,8,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,47399.89,0.0,0.0,740.58,0.0,30.0052,1422338.0,0.0,0.17,9.12,0.37,238450.31,177792.25,29.8063
80,18,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,7863.13,1584.52,0.0,122.86,30.0109,283197.0,0.0,1.9,44.74,11.04,539379.65,15733.1667,29.9655
81,32,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,10195.26,2059.87,0.0,159.29,30.4855,372986.0,0.0,2.61,662.33,0.2,973093.04,11655.8125,30.4092
82,8,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,23232.29,4651.76,0.0,362.98,30.0116,836764.0,0.0,0.29,436.02,0.18,239364.23,104595.5,29.9205
83,21,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,40648.25,0.0,0.0,635.09,0.0,30.004,1219757.0,0.0,0.51,23.35,1.12,625653.24,58083.6667,29.793
84,23,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,12602.79,2535.82,0.0,196.91,30.0154,453958.0,0.0,1.52,483.65,0.25,689782.81,19737.3043,29.9906
85,12,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,19136.85,3834.97,0.0,299.0,30.0136,689268.0,0.0,0.52,255.06,0.22,359571.63,57439.0,29.9643
86,24,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,11452.56,2306.27,0.0,178.94,30.0166,412553.0,0.0,1.74,609.63,0.21,719809.08,17189.7083,29.992
87,30,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Read,42221.2,0.0,0.0,659.67,0.0,30.0121,1267284.0,0.0,0.71,26.73,1.42,895863.49,42242.8,29.8621
88,3,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,30455.1,0.0,0.0,475.83,0.0,30.004,913878.0,0.0,0.1,21.02,0.22,89190.91,304626.0,29.7303
89,13,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,13212.45,2651.05,0.0,206.43,30.0067,475797.0,0.0,0.82,26.46,3.55,389098.54,36599.7692,29.9307
