,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,1,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Read,306005.43,0.0,0.0,4781.32,0.0,30.0002,9181332.0,0.0,0.0,0.14,0.0,28497.76,9181332.0,28.4978
1,11,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Write,0.0,2965.39,599.9,0.0,46.33,30.0436,106905.0,0.01,3.09,324.63,24.38,330042.58,9718.6364,30.0039
2,4,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Write,0.0,2973.33,596.73,0.0,46.46,30.064,107262.0,0.01,1.12,388.19,0.4,120086.61,26815.5,30.0217
3,24,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,505832.16,0.0,0.0,7903.57,0.0,30.0008,15176309.0,0.0,0.02,4.31,0.01,249900.02,632346.2083,10.4125
4,4,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,511684.85,0.0,0.0,7995.01,0.0,30.0003,15351508.0,0.0,0.01,0.7,0.01,100122.3,3837877.0,25.0306
5,3,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Read,385920.82,0.0,0.0,6029.99,0.0,30.0002,11579109.0,0.0,0.01,0.56,0.01,77555.81,3859703.0,25.8519
6,6,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,535124.18,0.0,0.0,8361.25,0.0,30.0006,16055828.0,0.0,0.01,3.03,0.01,125608.36,2675971.3333,20.9347
7,21,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,488461.87,0.0,0.0,7632.16,0.0,30.0007,14655068.0,0.0,0.02,4.82,0.01,232411.04,697860.381,11.0672
8,5,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Write,0.0,2875.42,578.25,0.0,44.93,30.0096,103555.0,0.01,1.45,138.56,0.99,149910.42,20711.0,29.9821
9,22,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,488538.35,0.0,0.0,7633.35,0.0,30.0006,14657330.0,0.0,0.02,4.46,0.01,241304.44,666242.2727,10.9684
10,26,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Write,0.0,3862.66,789.26,0.0,60.35,30.1316,139664.0,0.01,5.59,845.27,28.67,780757.08,5371.6923,30.0291
11,18,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,484870.17,0.0,0.0,7576.04,0.0,30.0007,14547283.0,0.0,0.01,3.59,0.01,213407.57,808182.3889,11.856
12,30,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,511506.77,0.0,0.0,7992.23,0.0,30.001,15346639.0,0.0,0.02,4.82,0.01,294727.1,511554.6333,9.8242
13,15,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Write,0.0,183.47,45.74,0.0,2.87,31.0645,6821.0,0.01,66.39,1196.94,458.96,452818.52,454.7333,30.1879
14,12,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Read,512453.95,0.0,0.0,8007.06,0.0,30.0006,15374809.0,0.0,0.01,3.0,0.02,196151.17,1281234.0833,16.3459
15,13,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Read,492983.66,0.0,0.0,7702.84,0.0,30.0004,14790605.0,0.0,0.01,3.03,0.02,191212.31,1137738.8462,14.7086
16,11,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,475738.39,0.0,0.0,7433.35,0.0,30.0003,14273089.0,0.0,0.01,1.69,0.01,155601.74,1297553.5455,14.1456
17,20,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Write,0.0,172.18,46.93,0.0,2.69,30.6795,6323.0,0.01,95.54,1621.51,623.33,604112.93,316.15,30.2056
18,21,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Read,473927.06,0.0,0.0,7405.08,0.0,30.0008,14219030.0,0.0,0.02,3.65,0.02,234940.58,677096.6667,11.1876
19,32,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Read,508029.84,0.0,0.0,7937.9,0.0,30.0008,15242200.0,0.0,0.02,7.33,0.01,311142.77,476318.75,9.7232
20,25,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Write,0.0,170.61,49.83,0.0,2.67,31.061,6348.0,0.01,120.36,2129.61,802.05,764063.57,253.92,30.5625
21,23,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Write,0.0,177.8,49.88,0.0,2.78,30.931,6583.0,0.01,106.4,1704.42,694.45,700433.17,286.2174,30.4536
22,31,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Write,0.0,183.43,56.6,0.0,2.87,30.5262,6708.0,0.01,139.34,2267.64,926.33,934716.32,216.3871,30.1521
23,23,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Write,0.0,3753.7,765.63,0.0,58.65,30.0737,135468.0,0.01,5.1,596.38,27.66,690282.82,5889.913,30.0123
24,29,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Read,493893.11,0.0,0.0,7717.05,0.0,30.0008,14818144.0,0.0,0.02,4.59,0.02,286458.26,510970.4828,9.8779
25,32,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Write,0.0,182.39,57.0,0.0,2.85,30.6993,6710.0,0.01,143.98,2384.06,1013.6,966094.09,209.6875,30.1904
26,21,20,819.2MiB,16GiB,16KiB,100,asynchronous,Random,Write,0.0,187.06,50.83,0.0,2.92,30.469,6829.0,0.01,92.81,1311.8,623.33,633768.93,325.1905,30.1795
27,22,20,819.2MiB,16GiB,16KiB,100,asynchronous,Sequential,Read,494606.94,0.0,0.0,7728.2,0.0,30.0006,14839351.0,0.0,0.02,4.43,0.02,248753.19,674515.9545,11.307
