,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,13,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,46223.87,0.0,0.0,722.2,0.0,30.0113,1387397.0,0.0,0.28,31.18,0.65,387163.17,106722.8462,29.7818
1,9,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,14891.34,2983.93,0.0,232.66,30.009,536270.0,0.0,0.5,52.84,2.18,268993.34,59585.5556,29.8881
2,21,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,40460.74,0.0,0.0,632.16,0.0,30.0124,1214488.0,0.0,0.52,29.17,1.34,628014.91,57832.7619,29.9055
3,21,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,12505.98,2515.11,0.0,195.39,30.0398,450838.0,0.0,1.4,468.47,0.25,630277.86,21468.4762,30.0132
4,4,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,37300.88,0.0,0.0,582.79,0.0,30.0041,1119246.0,0.0,0.11,27.87,0.24,119191.5,279811.5,29.7979
5,4,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,13521.25,2706.78,0.0,211.26,30.0025,486836.0,0.0,0.25,15.84,0.92,119290.57,121709.0,29.8226
6,10,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,44314.02,0.0,0.0,692.36,0.0,30.0101,1330015.0,0.0,0.22,26.19,0.49,297810.29,133001.5,29.781
7,32,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,46512.82,0.0,0.0,726.72,0.0,30.0059,1395777.0,0.0,0.68,32.44,1.42,949504.13,43618.0312,29.672
8,4,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,61452.86,0.0,0.0,960.14,0.0,30.0052,1844012.0,0.0,0.06,28.45,0.24,118128.26,461003.0,29.5321
9,16,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,45834.97,0.0,0.0,716.13,0.0,30.0108,1375756.0,0.0,0.35,26.67,0.75,477736.9,85984.75,29.8586
10,11,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,47207.26,0.0,0.0,737.57,0.0,30.0067,1416673.0,0.0,0.23,26.26,0.5,327712.3,128788.4545,29.792
11,19,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,6381.01,1288.86,0.0,99.7,30.0095,229801.0,0.0,2.48,82.69,14.73,569560.21,12094.7895,29.9769
12,1,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,14057.81,0.0,0.0,219.64,0.0,30.0051,421875.0,0.0,0.07,27.14,0.14,29814.99,421875.0,29.815
13,11,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,51448.3,0.0,0.0,803.83,0.0,30.0032,1543777.0,0.0,0.21,27.59,0.52,327394.45,140343.3636,29.7631
14,7,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,46177.93,0.0,0.0,721.49,0.0,30.0008,1385506.0,0.0,0.15,6.42,0.44,207993.92,197929.4286,29.7134
15,27,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,5101.41,1038.25,0.0,79.7,30.0103,183724.0,0.0,4.41,84.38,20.0,809502.77,6804.5926,29.9816
16,30,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,9529.58,1925.24,0.0,148.89,30.2199,345584.0,0.0,2.62,1031.66,0.26,906002.21,11519.4667,30.2001
17,20,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,45535.62,0.0,0.0,711.45,0.0,30.0064,1366514.0,0.0,0.44,27.56,1.01,596379.6,68325.7,29.819
18,24,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,48627.69,0.0,0.0,759.76,0.0,30.0053,1459212.0,0.0,0.49,24.23,1.01,714255.05,60800.5,29.7606
19,5,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,15010.42,3005.06,0.0,234.52,30.0065,540533.0,0.0,0.28,31.1,1.06,149152.31,108106.6,29.8305
20,8,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,46497.28,0.0,0.0,726.48,0.0,30.0024,1395125.0,0.0,0.17,28.69,0.44,237938.04,174390.625,29.7423
21,29,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,4997.79,1018.73,0.0,78.09,30.0356,180140.0,0.0,4.83,83.26,20.74,869824.67,6211.7241,29.994
22,14,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,46952.81,0.0,0.0,733.59,0.0,30.0044,1408957.0,0.0,0.29,26.3,0.68,415477.12,100639.7857,29.6769
23,3,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,14237.35,2849.1,0.0,222.45,30.0038,512629.0,0.0,0.17,52.43,0.63,89586.4,170876.3333,29.8621
24,3,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,62900.62,0.0,0.0,982.76,0.0,30.0011,1887263.0,0.0,0.05,14.79,0.21,88274.31,629087.6667,29.4248
25,16,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,42641.93,0.0,0.0,666.24,0.0,30.0039,1279535.0,0.0,0.37,23.13,0.81,475674.98,79970.9375,29.7297
26,24,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,33682.08,0.0,0.0,526.25,0.0,30.0165,1011157.0,0.0,0.71,32.59,1.89,718092.06,42131.5417,29.9205
27,30,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,4928.42,1005.39,0.0,77.0,30.0356,177641.0,0.0,5.06,52.8,21.5,899550.37,5921.3667,29.985
28,27,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,47211.89,0.0,0.0,737.64,0.0,30.0065,1416849.0,0.0,0.57,26.15,1.18,803565.94,52475.8889,29.7617
29,28,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,5056.79,1029.95,0.0,79.01,30.0162,182158.0,0.0,4.61,52.84,20.37,839507.56,6505.6429,29.9824
30,14,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,15970.21,3203.26,0.0,249.52,30.0365,575655.0,0.0,0.73,464.82,0.24,419873.52,41118.2143,29.991
31,6,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,24410.52,4885.45,0.0,381.39,30.0044,878978.0,0.0,0.2,583.57,0.17,179211.39,146496.3333,29.8686
32,29,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,42203.42,0.0,0.0,659.39,0.0,30.0142,1266797.0,0.0,0.68,26.56,1.47,864538.11,43682.6552,29.8117
33,7,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,27414.79,5487.16,0.0,428.33,30.0022,987106.0,0.0,0.21,153.39,0.17,209198.26,141015.1429,29.8855
34,15,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,17512.15,3511.79,0.0,273.61,30.0266,631061.0,0.0,0.71,341.73,0.25,449647.5,42070.7333,29.9765
35,31,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,47477.55,0.0,0.0,741.79,0.0,30.003,1424623.0,0.0,0.64,9.57,1.34,918664.89,45955.5806,29.6344
36,25,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,5121.04,1040.49,0.0,80.01,30.0217,184496.0,0.0,4.06,58.22,19.65,749479.21,7379.84,29.9792
37,18,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,14244.0,2860.32,0.0,222.55,30.032,513346.0,0.0,1.05,357.28,0.27,539948.94,28519.2222,29.9972
38,23,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,34666.48,0.0,0.0,541.63,0.0,30.0129,1040544.0,0.0,0.66,33.2,1.67,688057.66,45241.0435,29.9156
39,11,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,14630.31,2933.13,0.0,228.58,30.0099,526912.0,0.0,0.62,43.25,2.61,329095.27,47901.0909,29.9178
40,28,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Read,40277.97,0.0,0.0,629.3,0.0,30.0086,1208890.0,0.0,0.69,31.38,1.55,833163.25,43174.6429,29.7558
41,22,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,5791.16,1172.76,0.0,90.48,30.0131,208580.0,0.0,3.16,50.13,17.32,659491.66,9480.9091,29.9769
42,19,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,41813.78,0.0,0.0,653.3,0.0,30.011,1255028.0,0.0,0.45,24.78,1.21,567932.0,66054.1053,29.8912
43,19,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,14045.56,2821.23,0.0,219.45,30.1074,507465.0,0.0,1.13,389.4,0.25,571364.71,26708.6842,30.0718
44,8,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,14994.88,3003.91,0.0,234.28,30.0086,539988.0,0.0,0.44,10.83,1.89,239025.91,67498.5,29.8782
45,3,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,26893.56,5380.35,0.0,420.19,30.0029,968334.0,0.0,0.09,547.78,0.08,89235.36,322778.0,29.7451
46,4,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,26807.78,5363.74,0.0,418.85,30.0064,965353.0,0.0,0.12,335.13,0.11,119297.62,241338.25,29.8244
47,22,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,39946.35,0.0,0.0,624.12,0.0,30.0088,1198863.0,0.0,0.55,28.52,1.27,657812.51,54493.7727,29.9006
48,23,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,5463.76,1107.9,0.0,85.37,30.0192,196827.0,0.0,3.5,49.84,18.28,689515.0,8557.6957,29.9789
49,17,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,48586.51,0.0,0.0,759.12,0.0,30.0128,1458419.0,0.0,0.35,30.28,0.75,507732.77,85789.3529,29.8666
50,9,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,25677.23,5141.38,0.0,401.18,30.0115,924838.0,0.0,0.29,181.77,0.19,269198.48,102759.7778,29.9109
51,32,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Write,0.0,4978.6,1016.95,0.0,77.79,30.0284,179412.0,0.0,5.35,71.71,22.28,959726.32,5606.625,29.9914
52,2,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Random,Read,19727.48,0.0,0.0,308.22,0.0,30.0051,591989.0,0.0,0.1,21.03,0.21,59419.5,295994.5,29.7098
53,1,102.4MiB,102.4MiB,2GiB,16KiB,100,asynchronous,Sequential,Write,0.0,23662.51,4732.8,0.0,369.7,30.0025,851989.0,0.0,0.03,133.7,0.02,29615.53,851989.0,29.6155
